batch_id,region,planned_delivery,actual_delivery,transport_days,delivery_status,delivery_delay_days,critical_delay_ship,on_time_flag
BCH000269,East Asia,2023-11-24,2023-11-25,8,On-time,1,0,1
BCH000417,South Asia,2023-12-02,2023-12-09,7,Delayed,7,1,0
BCH000666,Eastern Europe,2023-07-13,2023-07-13,5,On-time,0,0,1
BCH000746,Central America,2023-09-06,2023-09-09,3,Delayed,3,1,0
BCH000023,South America,2023-12-12,2023-12-20,7,Delayed,8,1,0
BCH000336,South America,2023-12-22,2023-12-27,7,Delayed,5,1,0
BCH000147,South Asia,2023-08-22,2023-08-23,7,On-time,1,0,1
BCH000319,South Asia,2023-08-19,2023-08-19,6,On-time,0,0,1
BCH000079,Central America,2023-10-25,2023-10-28,3,Delayed,3,1,0
BCH000541,North America,2023-12-30,2023-12-30,2,On-time,0,0,1
BCH000778,South America,2023-11-02,2023-11-02,3,On-time,0,0,1
BCH000754,Western Europe,2023-09-18,2023-09-19,5,On-time,1,0,1
BCH000120,South America,2023-09-10,2023-09-14,3,Delayed,4,1,0
BCH000285,South America,2023-10-24,2023-10-25,3,On-time,1,0,1
BCH000582,Eastern Europe,2023-07-15,2023-07-19,9,Delayed,4,1,0
BCH000598,East Asia,2023-09-12,2023-09-15,7,Delayed,3,1,0
BCH000461,East Asia,2023-07-11,2023-07-13,9,Delayed,2,1,0
BCH000278,North America,2023-07-18,2023-07-19,3,On-time,1,0,1
BCH000594,Western Europe,2023-12-31,2024-01-06,5,Delayed,6,1,0
BCH000710,Western Europe,2023-07-22,2023-07-25,7,Delayed,3,1,0
BCH000183,Central America,2023-10-10,2023-10-10,3,On-time,0,0,1
BCH000640,Western Europe,2023-10-08,2023-10-08,4,On-time,0,0,1
BCH000295,Eastern Europe,2023-11-21,2023-11-25,9,Delayed,4,1,0
BCH000625,Western Europe,2023-10-27,2023-10-28,5,On-time,1,0,1
BCH000338,North America,2023-11-10,2023-11-16,6,Delayed,6,1,0
BCH000044,Central America,2023-08-14,2023-08-14,3,On-time,0,0,1
BCH000222,Western Europe,2023-08-17,2023-08-17,4,On-time,0,0,1
BCH000052,South Asia,2023-07-29,2023-08-02,7,Delayed,4,1,0
BCH000264,East Asia,2023-09-18,2023-09-29,10,Delayed,11,1,0
BCH000137,East Asia,2023-08-19,2023-08-27,7,Delayed,8,1,0
BCH000107,South America,2023-07-11,2023-07-13,5,Delayed,2,1,0
BCH000745,South America,2023-11-25,2023-12-03,4,Delayed,8,1,0
BCH000364,South America,2023-07-25,2023-07-26,4,On-time,1,0,1
BCH000500,Eastern Europe,2023-07-19,2023-07-20,6,On-time,1,0,1
BCH000074,Western Europe,2023-11-11,2023-11-12,5,On-time,1,0,1
BCH000567,North America,2023-09-13,2023-09-17,5,Delayed,4,1,0
BCH000410,East Asia,2023-08-12,2023-08-13,8,On-time,1,0,1
BCH000234,East Asia,2023-11-01,2023-11-03,7,Delayed,2,1,0
BCH000435,Eastern Europe,2023-08-15,2023-08-19,6,Delayed,4,1,0
BCH000246,East Asia,2023-07-12,2023-07-13,8,On-time,1,0,1
BCH000649,Eastern Europe,2023-10-04,2023-10-05,6,On-time,1,0,1
BCH000691,South America,2023-08-02,2023-08-03,4,On-time,1,0,1
BCH000513,Western Europe,2023-11-24,2023-11-26,4,Delayed,2,1,0
BCH000491,South America,2023-10-14,2023-10-15,4,On-time,1,0,1
BCH000057,Western Europe,2023-07-18,2023-07-20,4,Delayed,2,1,0
BCH000143,Western Europe,2023-12-28,2023-12-29,5,On-time,1,0,1
BCH000064,Central America,2023-10-18,2023-10-18,3,On-time,0,0,1
BCH000342,Western Europe,2023-11-08,2023-11-08,4,On-time,0,0,1
BCH000795,Western Europe,2023-09-13,2023-09-14,4,On-time,1,0,1
BCH000563,Central America,2023-11-22,2023-11-23,3,On-time,1,0,1
BCH000688,South America,2023-12-06,2023-12-08,4,Delayed,2,1,0
BCH000237,Western Europe,2023-11-04,2023-11-04,4,On-time,0,0,1
BCH000563,Eastern Europe,2023-11-24,2023-11-25,5,On-time,1,0,1
BCH000662,North America,2023-11-20,2023-11-21,2,On-time,1,0,1
BCH000274,North America,2023-12-24,2023-12-26,4,Delayed,2,1,0
BCH000460,Eastern Europe,2023-08-24,2023-08-26,7,Delayed,2,1,0
BCH000038,Western Europe,2023-08-25,2023-08-29,5,Delayed,4,1,0
BCH000148,South America,2023-11-07,2023-11-11,6,Delayed,4,1,0
BCH000445,North America,2023-11-23,2023-11-26,2,Delayed,3,1,0
BCH000737,South America,2023-11-01,2023-11-03,3,Delayed,2,1,0
BCH000727,Western Europe,2023-12-26,2023-12-30,7,Delayed,4,1,0
BCH000753,Western Europe,2023-07-26,2023-07-28,4,Delayed,2,1,0
BCH000408,East Asia,2023-08-26,2023-08-27,7,On-time,1,0,1
BCH000764,East Asia,2023-10-17,2023-10-20,7,Delayed,3,1,0
BCH000006,East Asia,2023-10-29,2023-10-30,7,On-time,1,0,1
BCH000384,North America,2023-08-25,2023-08-25,2,On-time,0,0,1
BCH000505,East Asia,2023-08-13,2023-08-17,11,Delayed,4,1,0
BCH000711,Eastern Europe,2023-09-20,2023-09-29,7,Delayed,9,1,0
BCH000313,Eastern Europe,2023-12-14,2023-12-14,5,On-time,0,0,1
BCH000646,South America,2023-11-09,2023-11-10,3,On-time,1,0,1
BCH000477,South America,2023-07-04,2023-07-07,3,Delayed,3,1,0
BCH000717,South America,2023-10-23,2023-10-26,6,Delayed,3,1,0
BCH000282,South Asia,2023-11-20,2023-11-20,6,On-time,0,0,1
BCH000311,East Asia,2023-08-01,2023-08-06,11,Delayed,5,1,0
BCH000333,Western Europe,2023-09-24,2023-09-28,8,Delayed,4,1,0
BCH000256,South America,2023-09-23,2023-09-24,3,On-time,1,0,1
BCH000719,South Asia,2023-07-13,2023-07-18,8,Delayed,5,1,0
BCH000156,Eastern Europe,2023-08-10,2023-08-11,6,On-time,1,0,1
BCH000775,South Asia,2023-09-30,2023-10-04,7,Delayed,4,1,0
BCH000387,South America,2023-07-07,2023-07-08,4,On-time,1,0,1
BCH000066,Western Europe,2023-10-01,2023-10-01,4,On-time,0,0,1
BCH000556,South Asia,2023-11-08,2023-11-08,6,On-time,0,0,1
BCH000268,North America,2023-07-09,2023-07-09,2,On-time,0,0,1
BCH000163,Central America,2023-11-28,2023-11-29,4,On-time,1,0,1
BCH000472,North America,2023-08-06,2023-08-13,2,Delayed,7,1,0
BCH000211,Western Europe,2023-09-01,2023-09-01,4,On-time,0,0,1
BCH000526,Western Europe,2023-12-16,2023-12-17,5,On-time,1,0,1
BCH000683,South Asia,2023-10-04,2023-10-10,6,Delayed,6,1,0
BCH000158,North America,2023-11-12,2023-11-12,2,On-time,0,0,1
BCH000071,South America,2023-11-06,2023-11-10,3,Delayed,4,1,0
BCH000059,South Asia,2023-09-29,2023-10-02,8,Delayed,3,1,0
BCH000532,South America,2023-10-26,2023-10-30,3,Delayed,4,1,0
BCH000102,Central America,2023-12-16,2023-12-21,3,Delayed,5,1,0
BCH000155,Central America,2023-09-04,2023-09-12,4,Delayed,8,1,0
BCH000415,South America,2023-11-03,2023-11-06,3,Delayed,3,1,0
BCH000273,Western Europe,2023-11-06,2023-11-06,4,On-time,0,0,1
BCH000598,South Asia,2023-09-11,2023-09-16,8,Delayed,5,1,0
BCH000776,North America,2023-08-06,2023-08-06,2,On-time,0,0,1
BCH000197,South America,2023-08-17,2023-08-18,4,On-time,1,0,1
BCH000797,East Asia,2023-10-12,2023-10-12,7,On-time,0,0,1
BCH000030,North America,2023-09-22,2023-09-26,6,Delayed,4,1,0
BCH000023,Western Europe,2023-12-13,2023-12-17,4,Delayed,4,1,0
BCH000343,North America,2023-10-17,2023-10-17,2,On-time,0,0,1
BCH000337,South Asia,2023-09-25,2023-09-29,9,Delayed,4,1,0
BCH000040,Eastern Europe,2023-08-12,2023-08-15,8,Delayed,3,1,0
BCH000017,North America,2023-07-05,2023-07-07,2,Delayed,2,1,0
BCH000738,Eastern Europe,2023-10-11,2023-10-12,5,On-time,1,0,1
BCH000084,East Asia,2023-12-11,2023-12-14,10,Delayed,3,1,0
BCH000081,South Asia,2024-01-03,2024-01-09,10,Delayed,6,1,0
BCH000550,North America,2023-09-29,2023-09-30,2,On-time,1,0,1
BCH000735,Western Europe,2023-08-16,2023-08-16,4,On-time,0,0,1
BCH000722,Central America,2023-11-03,2023-11-08,3,Delayed,5,1,0
BCH000002,Eastern Europe,2023-07-28,2023-07-28,5,On-time,0,0,1
BCH000209,Central America,2023-07-16,2023-07-16,3,On-time,0,0,1
BCH000494,Central America,2023-11-14,2023-11-16,4,Delayed,2,1,0
BCH000593,Central America,2023-11-17,2023-11-20,6,Delayed,3,1,0
BCH000646,South America,2023-11-09,2023-11-10,3,On-time,1,0,1
BCH000434,South Asia,2023-11-28,2023-11-28,6,On-time,0,0,1
BCH000478,Central America,2023-09-30,2023-10-04,7,Delayed,4,1,0
BCH000528,Central America,2023-07-17,2023-07-17,3,On-time,0,0,1
BCH000713,North America,2023-08-18,2023-08-18,2,On-time,0,0,1
BCH000303,Central America,2023-11-15,2023-11-16,4,On-time,1,0,1
BCH000422,South America,2023-10-26,2023-10-26,3,On-time,0,0,1
BCH000308,North America,2023-12-23,2023-12-24,3,On-time,1,0,1
BCH000131,Western Europe,2023-08-06,2023-08-06,4,On-time,0,0,1
BCH000496,South Asia,2023-10-26,2023-10-30,8,Delayed,4,1,0
BCH000044,East Asia,2023-08-18,2023-08-19,8,On-time,1,0,1
BCH000201,Western Europe,2023-11-20,2023-11-20,4,On-time,0,0,1
BCH000047,East Asia,2023-09-07,2023-09-08,7,On-time,1,0,1
BCH000394,Western Europe,2023-12-02,2023-12-03,5,On-time,1,0,1
BCH000198,South America,2023-09-20,2023-09-21,4,On-time,1,0,1
BCH000074,Central America,2023-11-10,2023-11-10,3,On-time,0,0,1
BCH000347,North America,2023-09-05,2023-09-08,5,Delayed,3,1,0
BCH000229,North America,2023-09-17,2023-09-22,3,Delayed,5,1,0
BCH000790,North America,2023-09-06,2023-09-10,3,Delayed,4,1,0
BCH000133,Eastern Europe,2023-10-09,2023-10-16,6,Delayed,7,1,0
BCH000709,South America,2023-08-22,2023-08-25,6,Delayed,3,1,0
BCH000588,Central America,2023-09-11,2023-09-14,6,Delayed,3,1,0
BCH000105,Western Europe,2023-10-03,2023-10-03,4,On-time,0,0,1
BCH000576,Central America,2023-08-03,2023-08-04,3,On-time,1,0,1
BCH000126,Central America,2023-11-21,2023-11-23,3,Delayed,2,1,0
BCH000049,North America,2023-08-04,2023-08-06,4,Delayed,2,1,0
BCH000194,Eastern Europe,2023-11-12,2023-11-13,6,On-time,1,0,1
BCH000050,Western Europe,2023-12-21,2023-12-26,7,Delayed,5,1,0
BCH000335,Eastern Europe,2023-10-18,2023-10-21,5,Delayed,3,1,0
BCH000008,Eastern Europe,2023-10-22,2023-10-22,5,On-time,0,0,1
BCH000403,East Asia,2023-09-10,2023-09-12,7,Delayed,2,1,0
BCH000244,Central America,2023-12-31,2024-01-01,3,On-time,1,0,1
BCH000356,North America,2023-12-29,2023-12-29,2,On-time,0,0,1
BCH000737,Western Europe,2023-11-02,2023-11-04,4,Delayed,2,1,0
BCH000463,Central America,2023-08-10,2023-08-14,7,Delayed,4,1,0
BCH000257,South America,2023-10-26,2023-10-26,3,On-time,0,0,1
BCH000218,Western Europe,2023-11-28,2023-12-03,6,Delayed,5,1,0
BCH000672,North America,2023-11-12,2023-11-12,2,On-time,0,0,1
BCH000247,North America,2023-12-26,2024-01-01,6,Delayed,6,1,0
BCH000676,East Asia,2023-09-17,2023-09-17,7,On-time,0,0,1
BCH000398,Western Europe,2023-10-31,2023-11-07,4,Delayed,7,1,0
BCH000522,South Asia,2023-11-24,2023-11-30,6,Delayed,6,1,0
BCH000770,South Asia,2023-07-25,2023-07-30,9,Delayed,5,1,0
BCH000372,Central America,2023-08-07,2023-08-12,3,Delayed,5,1,0
BCH000438,Central America,2023-09-04,2023-09-04,3,On-time,0,0,1
BCH000433,Eastern Europe,2023-09-19,2023-09-19,5,On-time,0,0,1
BCH000002,Central America,2023-07-26,2023-07-26,3,On-time,0,0,1
BCH000368,East Asia,2023-10-08,2023-10-08,7,On-time,0,0,1
BCH000178,Eastern Europe,2023-07-27,2023-07-27,5,On-time,0,0,1
BCH000620,East Asia,2023-10-15,2023-10-19,8,Delayed,4,1,0
BCH000591,South America,2023-09-17,2023-09-17,3,On-time,0,0,1
BCH000251,South Asia,2023-12-05,2023-12-09,10,Delayed,4,1,0
BCH000349,Western Europe,2023-07-06,2023-07-06,4,On-time,0,0,1
BCH000725,South Asia,2023-12-15,2023-12-17,8,Delayed,2,1,0
BCH000393,Western Europe,2023-11-22,2023-11-27,4,Delayed,5,1,0
BCH000266,North America,2023-07-16,2023-07-17,2,On-time,1,0,1
BCH000360,Central America,2023-08-31,2023-09-03,3,Delayed,3,1,0
BCH000432,Central America,2023-12-31,2024-01-08,3,Delayed,8,1,0
BCH000441,North America,2023-12-30,2023-12-30,2,On-time,0,0,1
BCH000329,South America,2023-08-31,2023-08-31,3,On-time,0,0,1
BCH000236,South America,2023-10-17,2023-10-17,3,On-time,0,0,1
BCH000607,East Asia,2023-08-30,2023-09-02,10,Delayed,3,1,0
BCH000378,North America,2023-10-01,2023-10-03,2,Delayed,2,1,0
BCH000173,East Asia,2023-09-08,2023-09-10,7,Delayed,2,1,0
BCH000471,Western Europe,2023-11-18,2023-11-18,4,On-time,0,0,1
BCH000447,Eastern Europe,2023-11-07,2023-11-07,5,On-time,0,0,1
BCH000723,East Asia,2023-12-31,2024-01-01,7,On-time,1,0,1
BCH000766,Central America,2023-12-30,2023-12-30,3,On-time,0,0,1
BCH000695,Eastern Europe,2023-07-09,2023-07-16,6,Delayed,7,1,0
BCH000241,Eastern Europe,2023-09-22,2023-09-26,6,Delayed,4,1,0
BCH000078,South America,2023-10-26,2023-10-26,3,On-time,0,0,1
BCH000458,Western Europe,2023-11-14,2023-11-19,5,Delayed,5,1,0
BCH000041,Eastern Europe,2023-07-26,2023-07-30,9,Delayed,4,1,0
BCH000089,East Asia,2023-11-19,2023-11-19,7,On-time,0,0,1
BCH000447,North America,2023-11-04,2023-11-04,2,On-time,0,0,1
BCH000019,East Asia,2023-09-10,2023-09-10,7,On-time,0,0,1
BCH000054,South America,2023-09-15,2023-09-16,3,On-time,1,0,1
BCH000323,Western Europe,2023-09-04,2023-09-05,5,On-time,1,0,1
BCH000033,Western Europe,2023-08-04,2023-08-06,4,Delayed,2,1,0
BCH000227,South America,2023-09-30,2023-10-02,3,Delayed,2,1,0
BCH000251,East Asia,2023-12-06,2023-12-06,7,On-time,0,0,1
BCH000186,Central America,2023-12-05,2023-12-07,3,Delayed,2,1,0
BCH000258,South Asia,2023-09-01,2023-09-03,8,Delayed,2,1,0
BCH000269,South America,2023-11-20,2023-11-20,3,On-time,0,0,1
BCH000345,North America,2023-12-02,2023-12-09,3,Delayed,7,1,0
BCH000409,North America,2023-12-23,2023-12-29,2,Delayed,6,1,0
BCH000730,East Asia,2023-07-08,2023-07-09,8,On-time,1,0,1
BCH000389,South America,2023-11-02,2023-11-02,3,On-time,0,0,1
BCH000288,East Asia,2023-11-02,2023-11-07,7,Delayed,5,1,0
BCH000617,East Asia,2023-10-27,2023-10-27,7,On-time,0,0,1
BCH000401,Central America,2023-08-25,2023-08-26,3,On-time,1,0,1
BCH000330,East Asia,2023-08-19,2023-08-20,8,On-time,1,0,1
BCH000647,Central America,2023-08-10,2023-08-10,3,On-time,0,0,1
BCH000156,East Asia,2023-08-12,2023-08-13,8,On-time,1,0,1
BCH000412,East Asia,2023-08-21,2023-08-21,7,On-time,0,0,1
BCH000769,South Asia,2023-11-19,2023-11-19,6,On-time,0,0,1
BCH000282,East Asia,2023-11-21,2023-11-21,7,On-time,0,0,1
BCH000317,Eastern Europe,2023-07-27,2023-08-01,7,Delayed,5,1,0
BCH000578,East Asia,2023-12-23,2023-12-23,7,On-time,0,0,1
BCH000045,Eastern Europe,2023-08-05,2023-08-09,9,Delayed,4,1,0
BCH000465,East Asia,2023-12-07,2023-12-07,7,On-time,0,0,1
BCH000679,North America,2023-11-11,2023-11-11,2,On-time,0,0,1
BCH000068,South America,2023-11-25,2023-11-28,3,Delayed,3,1,0
BCH000529,Central America,2023-08-06,2023-08-12,5,Delayed,6,1,0
BCH000685,East Asia,2023-09-11,2023-09-19,11,Delayed,8,1,0
BCH000386,Western Europe,2023-12-08,2023-12-08,4,On-time,0,0,1
BCH000781,North America,2023-11-08,2023-11-10,4,Delayed,2,1,0
BCH000475,East Asia,2023-10-30,2023-11-04,9,Delayed,5,1,0
BCH000255,East Asia,2023-11-22,2023-11-26,10,Delayed,4,1,0
BCH000712,Eastern Europe,2023-12-01,2023-12-01,5,On-time,0,0,1
BCH000480,East Asia,2023-07-28,2023-07-31,10,Delayed,3,1,0
BCH000758,East Asia,2023-09-20,2023-09-20,7,On-time,0,0,1
BCH000271,Western Europe,2023-10-13,2023-10-21,4,Delayed,8,1,0
BCH000275,East Asia,2023-07-17,2023-07-21,7,Delayed,4,1,0
BCH000239,Western Europe,2023-11-29,2023-12-01,4,Delayed,2,1,0
BCH000244,Western Europe,2024-01-01,2024-01-02,4,On-time,1,0,1
BCH000486,South America,2023-08-16,2023-08-16,3,On-time,0,0,1
BCH000406,Western Europe,2023-09-06,2023-09-07,5,On-time,1,0,1
BCH000136,Western Europe,2023-10-31,2023-11-01,4,On-time,1,0,1
BCH000626,South America,2023-10-28,2023-11-02,5,Delayed,5,1,0
BCH000081,North America,2023-12-30,2024-01-01,2,Delayed,2,1,0
BCH000394,Western Europe,2023-12-02,2023-12-02,4,On-time,0,0,1
BCH000697,Eastern Europe,2023-10-09,2023-10-09,5,On-time,0,0,1
BCH000576,South America,2023-08-03,2023-08-04,3,On-time,1,0,1
BCH000402,Western Europe,2023-10-25,2023-10-26,4,On-time,1,0,1
BCH000774,South Asia,2023-12-01,2023-12-02,7,On-time,1,0,1
BCH000391,South Asia,2023-08-29,2023-09-01,9,Delayed,3,1,0
BCH000223,Western Europe,2023-12-15,2023-12-19,8,Delayed,4,1,0
BCH000354,South Asia,2023-09-20,2023-09-20,6,On-time,0,0,1
BCH000572,East Asia,2023-07-21,2023-07-22,7,On-time,1,0,1
BCH000235,South Asia,2023-12-24,2023-12-29,8,Delayed,5,1,0
BCH000221,South Asia,2023-09-11,2023-09-11,6,On-time,0,0,1
BCH000358,North America,2023-11-18,2023-11-28,6,Delayed,10,1,0
BCH000160,East Asia,2023-08-08,2023-08-08,7,On-time,0,0,1
BCH000774,South America,2023-11-28,2023-11-28,3,On-time,0,0,1
BCH000214,North America,2023-08-29,2023-08-29,2,On-time,0,0,1
BCH000507,Central America,2023-11-24,2023-11-24,3,On-time,0,0,1
BCH000336,South America,2023-12-22,2023-12-23,3,On-time,1,0,1
BCH000228,South America,2023-10-02,2023-10-05,3,Delayed,3,1,0
BCH000593,North America,2023-11-16,2023-11-16,2,On-time,0,0,1
BCH000103,South America,2023-12-17,2023-12-19,5,Delayed,2,1,0
BCH000233,North America,2023-11-13,2023-11-17,5,Delayed,4,1,0
BCH000608,East Asia,2023-07-11,2023-07-15,7,Delayed,4,1,0
BCH000225,East Asia,2023-11-27,2023-12-05,7,Delayed,8,1,0
BCH000446,South Asia,2023-12-22,2023-12-30,6,Delayed,8,1,0
BCH000431,East Asia,2023-11-20,2023-11-28,8,Delayed,8,1,0
BCH000022,South America,2023-10-16,2023-10-18,3,Delayed,2,1,0
BCH000124,Western Europe,2023-08-18,2023-08-18,4,On-time,0,0,1
BCH000187,Western Europe,2023-07-08,2023-07-10,4,Delayed,2,1,0
BCH000237,Western Europe,2023-11-04,2023-11-04,4,On-time,0,0,1
BCH000516,Central America,2023-11-19,2023-11-24,3,Delayed,5,1,0
BCH000389,East Asia,2023-11-06,2023-11-06,7,On-time,0,0,1
BCH000262,Eastern Europe,2023-09-03,2023-09-03,5,On-time,0,0,1
BCH000451,Western Europe,2023-10-10,2023-10-18,4,Delayed,8,1,0
BCH000390,East Asia,2023-08-18,2023-08-24,10,Delayed,6,1,0
BCH000049,North America,2023-08-04,2023-08-04,2,On-time,0,0,1
BCH000525,North America,2023-09-14,2023-09-17,3,Delayed,3,1,0
BCH000677,Central America,2023-07-30,2023-07-30,3,On-time,0,0,1
BCH000192,South America,2023-08-05,2023-08-05,3,On-time,0,0,1
BCH000544,East Asia,2023-07-26,2023-07-26,7,On-time,0,0,1
BCH000591,Eastern Europe,2023-09-19,2023-09-19,5,On-time,0,0,1
BCH000165,South America,2023-12-22,2023-12-25,3,Delayed,3,1,0
BCH000177,Eastern Europe,2023-11-23,2023-11-24,6,On-time,1,0,1
BCH000596,Central America,2023-08-03,2023-08-03,3,On-time,0,0,1
BCH000404,South Asia,2023-10-21,2023-10-27,6,Delayed,6,1,0
BCH000741,Eastern Europe,2023-08-08,2023-08-09,5,On-time,1,0,1
BCH000436,South America,2023-07-22,2023-07-22,3,On-time,0,0,1
BCH000739,North America,2023-11-04,2023-11-10,5,Delayed,6,1,0
BCH000188,Eastern Europe,2023-09-26,2023-09-27,5,On-time,1,0,1
BCH000429,Eastern Europe,2023-10-08,2023-10-08,5,On-time,0,0,1
BCH000310,Western Europe,2023-10-25,2023-10-25,4,On-time,0,0,1
BCH000053,Central America,2023-09-10,2023-09-15,3,Delayed,5,1,0
BCH000069,South America,2023-09-25,2023-09-25,3,On-time,0,0,1
BCH000025,North America,2023-12-10,2023-12-16,3,Delayed,6,1,0
BCH000605,East Asia,2024-01-02,2024-01-05,10,Delayed,3,1,0
BCH000196,Western Europe,2023-09-06,2023-09-10,6,Delayed,4,1,0
BCH000152,East Asia,2023-08-22,2023-08-22,7,On-time,0,0,1
BCH000362,East Asia,2023-07-14,2023-07-15,7,On-time,1,0,1
BCH000464,South Asia,2023-12-20,2023-12-25,10,Delayed,5,1,0
BCH000322,Western Europe,2023-09-14,2023-09-14,4,On-time,0,0,1
BCH000058,East Asia,2023-11-30,2023-11-30,7,On-time,0,0,1
BCH000063,North America,2023-07-19,2023-07-25,3,Delayed,6,1,0
BCH000405,Central America,2023-07-18,2023-07-23,3,Delayed,5,1,0
BCH000061,South Asia,2023-07-07,2023-07-07,6,On-time,0,0,1
BCH000312,South Asia,2023-08-04,2023-08-09,6,Delayed,5,1,0
BCH000324,Eastern Europe,2023-09-23,2023-09-24,6,On-time,1,0,1
BCH000543,South Asia,2023-12-22,2023-12-26,6,Delayed,4,1,0
BCH000416,Western Europe,2023-09-29,2023-10-02,6,Delayed,3,1,0
BCH000276,Western Europe,2023-08-20,2023-08-25,4,Delayed,5,1,0
BCH000527,East Asia,2023-07-31,2023-08-02,7,Delayed,2,1,0
BCH000254,Eastern Europe,2023-08-25,2023-08-25,5,On-time,0,0,1
BCH000003,South Asia,2023-08-30,2023-09-02,6,Delayed,3,1,0
BCH000357,North America,2023-07-12,2023-07-12,2,On-time,0,0,1
BCH000077,Central America,2023-10-01,2023-10-02,4,On-time,1,0,1
BCH000072,Eastern Europe,2023-12-29,2024-01-04,8,Delayed,6,1,0
BCH000629,South America,2023-07-14,2023-07-14,3,On-time,0,0,1
BCH000518,Western Europe,2023-11-23,2023-11-23,4,On-time,0,0,1
BCH000319,Central America,2023-08-16,2023-08-16,3,On-time,0,0,1
BCH000709,Central America,2023-08-22,2023-08-22,3,On-time,0,0,1
BCH000214,East Asia,2023-09-03,2023-09-07,11,Delayed,4,1,0
BCH000201,North America,2023-11-18,2023-11-21,5,Delayed,3,1,0
BCH000371,South America,2023-12-16,2023-12-16,3,On-time,0,0,1
BCH000423,Eastern Europe,2023-11-19,2023-11-19,5,On-time,0,0,1
BCH000632,Eastern Europe,2023-08-19,2023-08-19,5,On-time,0,0,1
BCH000339,North America,2023-12-14,2023-12-18,6,Delayed,4,1,0
BCH000716,Eastern Europe,2023-08-01,2023-08-11,9,Delayed,10,1,0
BCH000748,Eastern Europe,2023-09-30,2023-10-01,6,On-time,1,0,1
BCH000088,East Asia,2023-12-10,2023-12-13,7,Delayed,3,1,0
BCH000429,Central America,2023-10-06,2023-10-09,6,Delayed,3,1,0
BCH000189,North America,2023-08-30,2023-08-30,2,On-time,0,0,1
BCH000307,Eastern Europe,2023-08-16,2023-08-16,5,On-time,0,0,1
BCH000752,Western Europe,2023-07-29,2023-07-29,4,On-time,0,0,1
BCH000297,North America,2023-08-19,2023-08-19,2,On-time,0,0,1
BCH000006,Eastern Europe,2023-10-27,2023-10-28,5,On-time,1,0,1
BCH000289,East Asia,2023-08-10,2023-08-11,8,On-time,1,0,1
BCH000146,Western Europe,2023-08-08,2023-08-09,4,On-time,1,0,1
